doy,plot,rep,treatment,planting,row,herbicide,tillage,test,c1,c2,c3,cavg
137,111,1,11,late,15,no,yes,TL,0,0,0,0
137,112,1,12,late,15,no,no,NL,0,0,0,0
137,113,1,13,late,30,yes,yes,TL,0,0,0,0
137,114,1,14,late,30,yes,no,NL,0,0,0,0
137,115,1,15,late,30,no,yes,TL,0,0,0,0
137,116,1,16,late,30,no,no,NL,0,0,0,0
137,201,2,11,late,15,no,yes,TL,0,0,0,0
137,202,2,7,early,30,no,yes,TE,0,0,0,0
137,203,2,12,late,15,no,no,NL,0,0,0,0
137,204,2,16,late,30,no,no,NL,0,0,0,0
137,205,2,15,late,30,no,yes,TL,0,0,0,0
137,206,2,8,early,30,no,no,NE,0,0,0,0
137,207,2,2,early,15,yes,no,NEY,0,0,0,0
137,208,2,9,late,15,yes,yes,TL,0,0,0,0
137,209,2,3,early,15,no,yes,TE,0,0,0,0
137,210,2,13,late,30,yes,yes,TL,0,0,0,0
137,211,2,10,late,15,yes,no,NL,0,0,0,0
137,212,2,14,late,30,yes,no,NL,0,0,0,0
137,213,2,1,early,15,yes,yes,TE,0,0,0,0
137,214,2,6,early,30,yes,no,NEY,0,0,0,0
137,215,2,5,early,30,yes,yes,TE,0,0,0,0
137,216,2,4,early,15,no,no,NE,0,0,0,0
137,301,3,16,late,30,no,no,NL,0,0,0,0
137,302,3,7,early,30,no,yes,TE,0,0,0,0
137,303,3,11,late,15,no,yes,TL,0,0,0,0
137,304,3,5,early,30,yes,yes,TE,0,0,0,0
137,305,3,2,early,15,yes,no,NEY,0,0,0,0
137,306,3,6,early,30,yes,no,NEY,0,0,0,0
137,307,3,8,early,30,no,no,NE,0,0,0,0
137,308,3,4,early,15,no,no,NE,0,0,0,0
137,309,3,10,late,15,yes,no,NL,0,0,0,0
137,310,3,1,early,15,yes,yes,TE,0,0,0,0
137,311,3,14,late,30,yes,no,NL,0,0,0,0
137,312,3,3,early,15,no,yes,TE,0,0,0,0
137,313,3,15,late,30,no,yes,TL,0,0,0,0
137,314,3,12,late,15,no,no,NL,0,0,0,0
137,315,3,9,late,15,yes,yes,TL,0,0,0,0
137,316,3,13,late,30,yes,yes,TL,0,0,0,0
137,401,4,8,early,30,no,no,NE,0,0,0,0
137,402,4,3,early,15,no,yes,TE,0,0,0,0
137,403,4,5,early,30,yes,yes,TE,0,0,0,0
137,404,4,15,late,30,no,yes,TL,0,0,0,0
137,405,4,4,early,15,no,no,NE,0,0,0,0
137,406,4,9,late,15,yes,yes,TL,0,0,0,0
137,407,4,16,late,30,no,no,NL,0,0,0,0
